p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,names
1,0,0,1,0,1,0,0,1,0,0,1,"[""Chandrakauns""]"
1,0,0,1,0,1,0,0,0,1,1,0,"[""Sundarkauns""]"
1,0,0,1,0,1,0,0,0,1,0,1,"[""Rajeshwari""]"
1,0,0,1,0,0,1,1,0,0,1,0,"[""Chandramadhu, Madhukauns""]"
1,0,0,1,0,0,1,0,1,0,1,0,"[""Tivrakauns""]"
1,0,0,1,0,0,1,0,0,1,1,0,"[""Harikauns""]"
1,0,0,1,0,0,0,1,0,1,1,0,"[""Lilavati""]"
1,0,0,0,1,1,1,1,0,1,1,1,"[""Chandni Bihag""]"
1,0,0,0,1,1,1,1,0,1,0,1,"[""Hindolita""]"
1,0,0,0,1,1,0,1,0,0,1,1,"[""Tilang""]"
1,0,0,0,1,1,0,1,1,0,0,0,"[""Zeelaf""]"
1,0,0,0,1,1,0,1,1,0,1,0,"[""Gangeshwari""]"
1,0,0,0,1,1,0,1,0,1,1,1,"[""Khokar""]"
1,0,0,0,1,1,0,0,0,1,1,1,"[""Madhuradhwani""]"
1,0,0,0,1,1,0,0,0,1,0,1,"[""Bhinna Shadja, Kaushik Dhwani""]"
1,0,0,0,1,0,1,1,0,0,1,0,"[""Amirkhani Kauns""]"
1,0,0,0,1,0,1,0,0,1,0,1,"[""Hindol""]"
1,0,0,0,1,0,0,1,0,0,0,0,"[""Malashree""]"
1,0,0,0,1,0,0,1,0,1,1,0,"[""Kalavati""]"
1,0,0,0,0,1,0,1,1,0,0,1,"[""Devranjani""]"
