raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Mohankauns,2,D,537,-181.72509576376075,0.5418483612322402,0.6578984385989588,0.3421015614010412,0.27849231868453767,0.0,6,2,0.08333333333333333,104
"Bheem, Malgunji",3,D#,3200,-185.78650955773935,0.33577155718103785,0.5661837107891406,0.43381628921085935,0.17975169703419897,0.0,8,0,0.25,105
Nat Bhairav,2,D,537,-188.46072010434926,0.5418483612322402,0.6415810943873962,0.3584189056126038,0.23278721992489262,0.0,7,1,0.16666666666666666,106
"Bageshri, Bhimpalasi, Desi, Dhanashree, Kafi, Shahana",2,D,537,-191.81711710027886,0.5418483612322402,0.6394710929807286,0.3605289070192714,0.23202164038117992,0.0,7,1,0.16666666666666666,107
“Champakali”,3,D#,3200,-193.3178063773516,0.33577155718103785,0.5757490504993671,0.4242509495006329,0.20890113816105801,0.0,7,1,0.16666666666666666,108
Jogeshwari Pancham,2,D,537,-199.20119049132404,0.5418483612322402,0.6348290898860598,0.3651709101139402,0.2303373653850121,0.0,7,1,0.16666666666666666,109
Malkauns,2,D,537,-200.62896510985487,0.5418483612322402,0.6556477704318466,0.34435222956815337,0.33304751696950097,0.0,5,3,0.0,110
Kalavati,10,A#,512,-201.3376014465016,0.09706006470670993,0.6557884371922911,0.3442115628077089,0.33311897106024746,0.0,5,3,0.0,111
"Bhupali, Deshkar, Pahadi",10,A#,512,-201.566465109855,0.09706006470670993,0.6556477704318465,0.3443522295681535,0.3330475169695009,0.0,5,3,0.0,112
Dev Gandhar,3,D#,3200,-205.1148508418329,0.33577155718103785,0.5539457026304686,0.4460542973695314,0.17586638084985728,0.0,8,0,0.25,113
Patdeep,2,D,537,-209.49414127884123,0.5418483612322402,0.6283584189056125,0.3716415810943875,0.22798958811762665,0.0,7,1,0.16666666666666666,114
"Gavati, Jhinjoti, Khamaj, Khambhavati",3,D#,3200,-212.1136295545572,0.33577155718103785,0.5639330426220285,0.4360669573779715,0.20461389271626723,0.0,7,1,0.16666666666666666,115
"Marwa, Puriya, Sohini",10,A#,512,-214.2866931038806,0.0631593754395838,0.6382050921367278,0.3617949078632722,0.2701560080974444,0.0,6,2,0.08333333333333333,116
Nayaki Kanada,2,D,537,-218.54458052404294,0.5418483612322402,0.6349697566465042,0.36503024335349576,0.26878647135813616,0.0,6,2,0.08333333333333333,117
Chandrakauns,2,D,537,-218.70919451477258,0.5418483612322402,0.6445350963567306,0.35546490364326944,0.32740264380052636,0.0,5,3,0.0,118
Hemshri,2,D,537,-220.5775582101935,0.5418483612322402,0.6337037558025037,0.3662962441974963,0.26825056567753736,0.0,6,2,0.08333333333333333,119
"Bihag, Chhayanat, Gaud Sarang, Hameer, Kamod, Maru Bihag, Nand, Shyam Kalyan",2,D,537,-221.66553496211924,0.5418483612322402,0.6066957377971586,0.3933042622028414,0.19261343336857145,0.0,8,0,0.25,120
"Alhaiya Bilawal, Bihagda, Desh, Devgiri Bilawal, Gaud Malhar",2,D,537,-221.88769980446529,0.5418483612322402,0.606555071036714,0.393444928963286,0.1925687745618549,0.0,8,0,0.25,121
Jog,2,D,537,-225.9988320399284,0.5418483612322402,0.6303277535518355,0.36967224644816454,0.266821483862607,0.0,6,2,0.08333333333333333,122
Charukeshi,3,D#,3200,-231.58073213094883,0.33577155718103785,0.5516950344633563,0.4483049655366437,0.2001735313627339,0.0,7,1,0.16666666666666666,123
Shobhawari,2,D,537,-236.33169659298343,0.5418483612322402,0.6337037558025036,0.3662962441974964,0.32190067881304474,0.0,5,3,0.0,124
Hindol,10,A#,512,-237.26919659298363,0.0631593754395838,0.6337037558025035,0.3662962441974965,0.32190067881304474,0.0,5,3,0.0,125
"Bahar, Lanka Dahan Sarang, Miyan ki Malhar, Sindhura",10,A#,512,-244.81951919670954,0.33577155718103785,0.5926290617527079,0.4073709382472921,0.18814755269691436,0.0,8,0,0.25,126
Dhani,2,D,537,-245.48624312711905,0.5418483612322402,0.6280770853847233,0.3719229146152767,0.3190425151831842,0.0,5,3,0.0,127
"Kedar, Shuddha Sarang",2,D,537,-247.53330723270963,0.5418483612322402,0.6044450696300464,0.3955549303699536,0.21931301995555,0.0,7,1,0.16666666666666666,128
Surdasi Malhar,2,D,537,-247.75706703243813,0.5418483612322402,0.604304402869602,0.39569559713039804,0.21926198131930247,0.0,7,1,0.16666666666666666,129
"Gavati, Jhinjoti, Khamaj, Khambhavati",2,D,537,-253.12730222592555,0.5418483612322402,0.6009284006189337,0.3990715993810663,0.21803705404936227,0.0,7,1,0.16666666666666666,130
“Jayat,3,D#,3200,-257.8281088205698,0.33577155718103785,0.5483190322126881,0.4516809677873119,0.23210670477492587,0.0,6,2,0.08333333333333333,131
"Hanskinki, Jaijaiwanti, Ramdasi Malhar, Tilang Bahar, Zila Kafi",2,D,537,-259.0021129827548,0.5418483612322402,0.6473484315656212,0.35265156843437884,0.18268429200858713,0.0,9,1,0.3333333333333333,132
Jogeshwari,2,D,537,-264.8512944863614,0.5418483612322402,0.6061330707553803,0.39386692924461975,0.25657973085560676,0.0,6,2,0.08333333333333333,133
Ahir Bhairav,3,D#,3200,-266.03974128915877,0.33577155718103785,0.5300323533549024,0.4699676466450976,0.19231358138061738,0.0,7,1,0.16666666666666666,134
"Bilawal, Bihari, Hem Bihag, Hemant, Mand, Tilak Kamod",2,D,537,-270.80432640448805,0.5418483612322402,0.5898157265438176,0.41018427345618236,0.214005001785809,0.0,7,1,0.16666666666666666,135
Pilu,2,D,537,-271.42979281227286,0.5418483612322402,0.703615135743424,0.29638486425657595,0.17870668095703118,0.0,10,2,0.4166666666666667,136
Jogeshwari Pancham,3,D#,3200,-273.4238146802039,0.33577155718103785,0.5253903502602336,0.4746096497397664,0.19062930638444955,0.0,7,1,0.16666666666666666,137
Sarang,2,D,537,-275.01618291711384,0.5418483612322402,0.5998030665353776,0.4001969334646224,0.25390020245261247,0.0,6,2,0.08333333333333333,138
