track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Hanskinki_1,368.86,347.97
Hanskinki_2,287.25,226.06
Hanskinki_3,244.03,98.69
Hanskinki_4,188.29500000000002,89.44
Hanskinki_5,310.32,124.06
Hanskinki_6,362.08,293.03
Hanskinki_7,224.95,90.025
Hanskinki_8,340.99,110.77
Hari Kauns_1,184.78,155.5
Hari Kauns_2,246.41,110.94
Hari Kauns_3,192.48,131.43
Hari Kauns_4,235.05,247.055
Hari Kauns_5,261.33,93.18
Hari Kauns_6,241.22,97.975
Hem Bihag_1,175.54,139.17
Hem Bihag_2,261.41,78.49
Hem Bihag_3,270.395,136.55
Hem Bihag_4,367.15,266.91
Hem Bihag_5,346.295,101.05
Hemant_1,290.455,276.5
Hemant_10,338.73,83.12
Hemant_2,310.3,232.94
Hemant_3,250.06,249.89
Hemant_4,310.32,170.20499999999998
Hemant_5,328.41,328.32
Hemant_6,307.78499999999997,117.2
Hemant_7,165.91,147.2
Hemant_8,433.7,93.03
Hemant_9,,265.91
Hemshri_1,188.095,141.86
Hemshri_2,276.58500000000004,250.93
Hemshri_3,210.575,140.06
Hindol_1,207.79,147.32
Hindol_2,235.91,76.04
Hindol_3,321.955,242.32
Hindol_4,293.03,230.79
Hindol_5,282.195,104.51
Hindol_6,413.2,327.33
Hindol_7,238.98,97.25
Hindol_8,187.49,88.71
Hindol_9,208.82,150.2
Jaijaiwanti_1,196.27,92.58
Jaijaiwanti_10,165.48,93.19
Jaijaiwanti_2,379.61,107.565
Jaijaiwanti_3,298.22,83.12
Jaijaiwanti_4,276.7,207.945
Jaijaiwanti_5,277.86,99.65
Jaijaiwanti_6,220.06,131.31
Jaijaiwanti_7,336.28999999999996,99.05
Jaijaiwanti_8,223.8,89.84
Jaijaiwanti_9,181.8,156.74
Jaldhar Kedar_1,200.03,200.6
Jaldhar Kedar_2,276.72,155.65
Jaldhar Kedar_3,218.12,303.91
Jaldhar Kedar_4,220.07,107.27
Jaldhar Kedar_5,217.77499999999998,91.92
Jaldhar Kedar_6,214.38,104.19
Jaldhar Kedar_7,267.17,270.915
Jaldhar Kedar_8,252.23,83.99
Jaunpuri_1,233.01,78.56
Jaunpuri_2,348.05,234.26
Jaunpuri_3,224.37,92.17
Jaunpuri_4,274.88,233.0
Jaunpuri_5,233.67000000000002,91.25
Jaunpuri_6,156.01,155.88
Jaunpuri_7,293.03,293.03
